opportunity_key,vertical,use_case_id,technology_id,market_size_status,europe_low_eur,europe_central_eur,europe_high_eur,countries_covered,countries_expected,coverage_ratio,coverage_status
Aerospace|anomaly-detection|cybersecurity-platform,Aerospace,anomaly-detection,cybersecurity-platform,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|anomaly-detection|machine-learning,Aerospace,anomaly-detection,machine-learning,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|asset-tracking|autonomous-vehicles-drones,Aerospace,asset-tracking,autonomous-vehicles-drones,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|asset-tracking|blockchain-distributed-ledger,Aerospace,asset-tracking,blockchain-distributed-ledger,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|asset-tracking|computer-vision,Aerospace,asset-tracking,computer-vision,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|asset-tracking|industrial-robotics,Aerospace,asset-tracking,industrial-robotics,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|asset-tracking|iot-platforms,Aerospace,asset-tracking,iot-platforms,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|automated-inspection-defect-detection|computer-vision,Aerospace,automated-inspection-defect-detection,computer-vision,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|automated-inspection-defect-detection|industrial-robotics,Aerospace,automated-inspection-defect-detection,industrial-robotics,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|automated-inspection-defect-detection|iot-platforms,Aerospace,automated-inspection-defect-detection,iot-platforms,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|compliance-monitoring|connectivity-5g,Aerospace,compliance-monitoring,connectivity-5g,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|diagnostic-support|computer-vision,Aerospace,diagnostic-support,computer-vision,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|environmental-emissions-monitoring|cloud-data-platform,Aerospace,environmental-emissions-monitoring,cloud-data-platform,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|environmental-emissions-monitoring|computer-vision,Aerospace,environmental-emissions-monitoring,computer-vision,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|environmental-emissions-monitoring|digital-twin,Aerospace,environmental-emissions-monitoring,digital-twin,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|environmental-emissions-monitoring|iot-platforms,Aerospace,environmental-emissions-monitoring,iot-platforms,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|environmental-emissions-monitoring|machine-learning,Aerospace,environmental-emissions-monitoring,machine-learning,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|network-optimization|connectivity-5g,Aerospace,network-optimization,connectivity-5g,pending_or_unavailable,,,,0,29,0.0,no_country_data
Aerospace|network-optimization|iot-platforms,Aerospace,network-optimization,iot-platforms,pending_or_unavailable,,,,0,29,0.0,no_country_data
