article_id,vertical,title,summary,url,source_name,source_type,published_date,time_window,classification_status,use_case_id,technology_id,classification_confidence,classification_evidence,ml_usefulness_probability,ml_keep_recommended,source_quality_prior,source_independence_group,source_role,date_quality_flag,signal_type,signal_confidence,orange_relevance,orange_relevance_confidence,orange_fit_basis,orange_relevance_rationale,event_key,event_key_method,enrichment_method,enrichment_status,review_status,auto_positive_groups,auto_negative_groups,auto_matched_terms,auto_signal_terms,signal_points,is_urgent_signal,opportunity_id
54416,Aerospace,Germany – CT scanners – PET/CT,Buyer: ['Herz- und Diabeteszentrum NRW'] | Country: DEU | Notice type: cn-standard,https://ted.europa.eu/bg/notice/-/detail/577708-2026,TED,ted,2026-08-20T00:00:00+00:00,,classified,diagnostic-support,computer-vision,0.6,"The article mentions 'CT scanners – PET/CT' procured by a heart and diabetes center, which aligns with medical imaging for diagnostic support and computer vision interpretation.",0.628333330154419,1,0.9,source_type:ted,primary_institutional,valid_past,unknown,low,RELEVANT,medium,inferred,Complete taxonomy plus Orange-addressable themes: data_ai,https://ted.europa.eu/bg/notice/-/detail/577708-2026,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai,,data_ai:computer vision,,1,False,Aerospace | diagnostic-support | computer-vision
27076,Aerospace,Operation Blue Skies: Reducing aviation climate impact with AI - blog.google,,https://news.google.com/rss/articles/CBMijgFBVV95cUxOMjZRWFE0TW5oR1ZOR0pYbnh1X24ydk9JQ1Z0aGhjM3ppWnZnc1dhdkQ1cEpYZjEyMWJ4T1ZBeW1PNjB5LUZzM21SQVZZLTAzTzhrRmNBbmRtTDBuV3BTcVgyR1dEdTRzbUJQZnhVY3BhdmR6VmpCWmh2cjAtU2otTl9BT25raFVMUDc2UlVR?oc=5,blog.google,gnews,2026-08-18T09:03:42+00:00,recent,classified,environmental-emissions-monitoring,machine-learning,0.85,"The article focuses on reducing aviation climate impact (emissions monitoring) using AI (machine learning), as indicated by the title 'Operation Blue Skies: Reducing aviation climate impact with AI'.",,,0.45,source_type:gnews,secondary_media,valid_past,unknown,low,RELEVANT,medium,inferred,Complete taxonomy plus Orange-addressable themes: data_ai,https://news.google.com/rss/articles/CBMijgFBVV95cUxOMjZRWFE0TW5oR1ZOR0pYbnh1X24ydk9JQ1Z0aGhjM3ppWnZnc1dhdkQ1cEpYZjEyMWJ4T1ZBeW1PNjB5LUZzM21SQVZZLTAzTzhrRmNBbmRtTDBuV3BTcVgyR1dEdTRzbUJQZnhVY3BhdmR6VmpCWmh2cjAtU2otTl9BT25raFVMUDc2UlVR?oc=5,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai,,data_ai:ai; data_ai:machine learning,,1,False,Aerospace | environmental-emissions-monitoring | machine-learning
27078,Aerospace,Archer Aviation (ACHR) Completes Piloted Midnight Intercity Flight - Yahoo Finance,,https://news.google.com/rss/articles/CBMipAFBVV95cUxQNkFiUFRsd1RDMTNuMnI3Vk80NjM5VnpubHlRTGxjcjFDdFE4WUEtUEFwcFlDeDA0ZjI2bVMyY2xWREdxMmZKc21hRjdreEpxWUR4RGlwblF5TEp2OXc5cGl6SnBJaEo4NDFEbXBDcThLSTQ2Z0lOMEVMUWJTbU9NeDhoR1hSSUROTzhZZ1RhNHptOFFRaTJpMEZsM0hsTkhUandSQQ?oc=5,Yahoo Finance,gnews,2026-08-16T05:09:31+00:00,recent,classified,route-optimization,autonomous-vehicles-drones,0.7,"The article discusses Archer Aviation's completion of a piloted intercity flight with its 'Midnight' aircraft, which aligns with autonomous vehicles/drones technology for transport. The intercity transport aspect loosely connects to route optimization, though the brief title/summary lacks explicit details on autonomous navigation or route computation.",,,0.45,source_type:gnews,secondary_media,valid_past,proof_signal,medium,RELEVANT,medium,inferred,Complete taxonomy plus Orange-addressable themes: business_trigger,https://news.google.com/rss/articles/CBMipAFBVV95cUxQNkFiUFRsd1RDMTNuMnI3Vk80NjM5VnpubHlRTGxjcjFDdFE4WUEtUEFwcFlDeDA0ZjI2bVMyY2xWREdxMmZKc21hRjdreEpxWUR4RGlwblF5TEp2OXc5cGl6SnBJaEo4NDFEbXBDcThLSTQ2Z0lOMEVMUWJTbU9NeDhoR1hSSUROTzhZZ1RhNHptOFFRaTJpMEZsM0hsTkhUandSQQ?oc=5,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,business_trigger,,business_trigger:pilot,pilot,3,False,Aerospace | route-optimization | autonomous-vehicles-drones
698,Aerospace,Lockheed Martin Demonstrates Airspace Awareness System For Drones With Commercial Partners,"Lockheed Martin [LMT] and commercial partners recently demonstrated a commercially-developed system for detecting and tracking drones in local areas using existing wireless infrastructure and plans to offer the solution on [&#8230;]<p><img alt=""Lockheed-Martin-NetSense-July-Demonstration"" class=""attachment-post-thumbnail size-post-thumbnail wp-post-image"" height=""606"" src=""https://www.defensedaily.com/wp-content/uploads/2026/08/lockheed-martin-netsense-july-demonstration.jpg"" width=""1077"" /></p>",https://www.defensedaily.com/lockheed-martin-demonstrates-airspace-awareness-system-for-drones-with-commercial-partners/unmanned-systems/,Defense Daily,rss,2026-08-12T19:12:52+00:00,,classified,asset-tracking,iot-platforms,0.65,"The article describes a system for detecting and tracking drones in local areas, which aligns with locating physical assets. It leverages existing wireless infrastructure to act as a sensor network, fitting the IoT Platforms definition.",,,0.55,source_type:rss,secondary_media,valid_past,unknown,low,RELEVANT,medium,inferred,Complete taxonomy plus Orange-addressable themes: connectivity,https://www.defensedaily.com/lockheed-martin-demonstrates-airspace-awareness-system-for-drones-with-commercial-partners/unmanned-systems/,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity,,connectivity:network; connectivity:iot,,1,False,Aerospace | asset-tracking | iot-platforms
27137,Aerospace,"Oil spill from shadow fleet tanker spreading off Oman, satellite images show - Reuters",,https://news.google.com/rss/articles/CBMivwFBVV95cUxPZ3BSd3VjOGx3d05pWm1uMWRielhwT1E1TVVsWVZIaEJtbWlWRldkWmdhQkFULXVLdHVMX1M0TjVQVTV5b0phSTdFR1VKS2FvTll1WEEtaWZ1VFNNSUN0V0dqaUlUaEhWS1lsOUZvUjk4bFdHLVZreE1sRGpjbGY2ZXJzYzZFOUhSNVNfT1pScGJ2Rml6TnhPWG92ZXdMc21QUDhlVzBueTkxRFM5UzBUUXJUWU4yUzJIZDBkaFlISQ?oc=5,Reuters,gnews,2026-07-31T07:00:00+00:00,recent,classified,environmental-emissions-monitoring,computer-vision,0.7,"The article discusses monitoring an oil spill spreading off Oman using satellite images, which aligns with measuring and reporting environmental impact (emissions-monitoring) and interpreting images/video (computer-vision).",,,0.45,source_type:gnews,secondary_media,valid_past,unknown,low,RELEVANT,medium,inferred,Complete taxonomy plus Orange-addressable themes: connectivity,https://news.google.com/rss/articles/CBMivwFBVV95cUxPZ3BSd3VjOGx3d05pWm1uMWRielhwT1E1TVVsWVZIaEJtbWlWRldkWmdhQkFULXVLdHVMX1M0TjVQVTV5b0phSTdFR1VKS2FvTll1WEEtaWZ1VFNNSUN0V0dqaUlUaEhWS1lsOUZvUjk4bFdHLVZreE1sRGpjbGY2ZXJzYzZFOUhSNVNfT1pScGJ2Rml6TnhPWG92ZXdMc21QUDhlVzBueTkxRFM5UzBUUXJUWU4yUzJIZDBkaFlISQ?oc=5,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity,,connectivity:satellite,,1,False,Aerospace | environmental-emissions-monitoring | computer-vision
27109,Aerospace,This is the world’s most advanced robotic servicing satellite—that we know about - Ars Technica,,https://news.google.com/rss/articles/CBMiugFBVV95cUxQZktuVEtFMzdyTk1pYkxPX0JkUTdRMENoVHJaeTNVWkJBcFhJTmFlOGRmVFVwQllkNnk5M3Nadk5mMHFBOFZnRU9DeFY2eUdUbTJRcXhNZFpMeF9SVVlDRHl2dExRb05CZ043Wk5zWi05aU92MVZTcktmSjhDMFNOZkJpUnFVRGNOUWtSeEJsQkhTUm9vYVlISVJWSzJ1cmpYNTJfZFFEekFTV2pHRTJidWtIM3lhWTlHQmc?oc=5,Ars Technica,gnews,2026-07-24T07:00:00+00:00,recent,classified,asset-tracking,industrial-robotics,0.6,"The article discusses a 'robotic servicing satellite' in the aerospace industry, which aligns with industrial robotics operating in space and asset tracking/servicing of physical assets.",,,0.45,source_type:gnews,secondary_media,valid_past,unknown,low,RELEVANT,medium,inferred,"Complete taxonomy plus Orange-addressable themes: connectivity, industrial_operations",https://news.google.com/rss/articles/CBMiugFBVV95cUxQZktuVEtFMzdyTk1pYkxPX0JkUTdRMENoVHJaeTNVWkJBcFhJTmFlOGRmVFVwQllkNnk5M3Nadk5mMHFBOFZnRU9DeFY2eUdUbTJRcXhNZFpMeF9SVVlDRHl2dExRb05CZ043Wk5zWi05aU92MVZTcktmSjhDMFNOZkJpUnFVRGNOUWtSeEJsQkhTUm9vYVlISVJWSzJ1cmpYNTJfZFFEekFTV2pHRTJidWtIM3lhWTlHQmc?oc=5,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity; industrial_operations,,connectivity:satellite; industrial_operations:industrial,,1,False,Aerospace | asset-tracking | industrial-robotics
39623,Aerospace,Space Launcher Advanced Monitoring Systems,"Reusable launcher technologies aim at strengthening Europe’s competitiveness in the field of New Space transportation by enabling reduced cost, increased operational flexibility and minimum environmental impact. Yet, their applicability still needs to be demonstrated. A key...",https://cordis.europa.eu/project/id/101295952,CORDIS,cordis,2026-07-01T00:00:00+00:00,recent,classified,predictive-maintenance,digital-twin,0.6,"The article discusses 'Advanced Monitoring Systems' for 'Reusable launcher technologies' in the Aerospace sector. Monitoring space launchers to ensure reusability strongly implies anticipating equipment failures and condition monitoring (predictive-maintenance), often supported by virtual replicas (digital-twin), though the brief text limits absolute certainty.",0.9895016551017761,1,0.8,source_type:cordis,primary_institutional,valid_past,unknown,low,RELEVANT,medium,inferred,"Complete taxonomy plus Orange-addressable themes: data_ai, industrial_operations",https://cordis.europa.eu/project/id/101295952,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations,,data_ai:predictive; industrial_operations:maintenance,,1,False,Aerospace | predictive-maintenance | digital-twin
39626,Aerospace,"REentry Capsule FAult Detection, Identification and Fault Tolerant Guidance and ConTrol",The REACT project addresses the urgent need to advance sustainable and resilient space operations in Europe.The project aims to develop an innovative intelligent control framework for re-entry capsules that autonomously adapts to occurring faults. This builds on the...,https://cordis.europa.eu/project/id/101296430,CORDIS,cordis,2026-07-01T00:00:00+00:00,recent,classified,anomaly-detection,machine-learning,0.8,"The project develops an 'intelligent control framework' that 'autonomously adapts to occurring faults' via 'Fault Detection, Identification', which aligns with anomaly detection in system data and machine learning for adaptive control.",0.9246453046798706,1,0.8,source_type:cordis,primary_institutional,valid_past,unknown,low,RELEVANT,medium,inferred,Complete taxonomy plus Orange-addressable themes: data_ai,https://cordis.europa.eu/project/id/101296430,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai,,data_ai:machine learning,,1,False,Aerospace | anomaly-detection | machine-learning
39634,Aerospace,Advanced Space Transfer & Resupply Architecture for Logistics in ISOS-environment,"ASTRALIS aims to develop and demonstrate the key technologies and system design for a European reusable, modular, and autonomous in-orbit logistics system—the Logistics Component (LC)—for the ISOS Pilot Mission, reaching TRL 6. The objectives are: (1) mature critical...",https://cordis.europa.eu/project/id/101296312,CORDIS,cordis,2026-06-01T00:00:00+00:00,recent,classified,asset-tracking,autonomous-vehicles-drones,0.65,"The article describes an 'autonomous in-orbit logistics system' (aligning with asset tracking/supply chain) and 'reusable, modular, and autonomous' space vehicles (aligning with autonomous vehicles/drones), though the aerospace context makes a perfect taxonomy fit ambiguous.",0.7665276527404785,1,0.8,source_type:cordis,primary_institutional,valid_past,proof_signal,high,RELEVANT,high,inferred,"Complete taxonomy plus Orange-addressable themes: industrial_operations, business_trigger",https://cordis.europa.eu/project/id/101296312,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,industrial_operations; business_trigger,,industrial_operations:supply chain; business_trigger:pilot,pilot,3,False,Aerospace | asset-tracking | autonomous-vehicles-drones
39638,Aerospace,Pollution Observation from Space: Environmental Imaging for Detections in Oceans & Nearshore (POSEIDON),"The project intends to leverage optical and radar based satellite technology to improve a) services for estimating volume, thickness, and characterization of oil spills and for detecting oil spills in sea ice conditions; b) methods for detecting and identifying chemical...",https://cordis.europa.eu/project/id/101296478,CORDIS,cordis,2026-06-01T00:00:00+00:00,recent,classified,environmental-emissions-monitoring,computer-vision,0.85,"The project focuses on monitoring pollution (oil spills, chemicals) in oceans and nearshore, which aligns with measuring and reporting environmental impact/emissions. The use of 'optical and radar based satellite technology' for detection and characterization aligns with interpreting imaging data via computer vision.",0.9915760159492493,1,0.8,source_type:cordis,primary_institutional,valid_past,unknown,low,RELEVANT,medium,inferred,"Complete taxonomy plus Orange-addressable themes: connectivity, data_ai",https://cordis.europa.eu/project/id/101296478,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity; data_ai,,connectivity:satellite; data_ai:computer vision,,1,False,Aerospace | environmental-emissions-monitoring | computer-vision
