opportunity_id,vertical,use_case_id,technology_id,evidence_count,independent_source_count,independent_event_count,average_source_quality,capability_groups,signal_component,independence_component,quality_component,momentum_component,attractiveness_score,orange_fit_score,confidence_score,urgency_score,priority_score,publication_status
Public/Gov sector | compliance-monitoring | cybersecurity-platform,Public/Gov sector,compliance-monitoring,cybersecurity-platform,7,5,7,0.693,business_trigger; cloud_edge; connectivity; cybersecurity,13.9,25.0,17.3,20.0,76.2,100.0,89.2,28.6,81.7,RADAR
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,13,5,13,0.638,business_trigger; connectivity; cybersecurity; data_ai; industrial_operations,13.8,25.0,16.0,20.0,74.8,100.0,87.3,30.8,81.1,RADAR
Healthcare | compliance-monitoring | cybersecurity-platform,Healthcare,compliance-monitoring,cybersecurity-platform,3,2,3,0.75,business_trigger; connectivity; cybersecurity; industrial_operations,22.5,16.7,18.8,12.0,69.9,100.0,67.2,66.7,79.7,RADAR
Defense | compliance-monitoring | iot-platforms,Defense,compliance-monitoring,iot-platforms,3,2,3,0.833,business_trigger; cloud_edge; connectivity; cybersecurity,15.0,16.7,20.8,12.0,64.5,100.0,70.2,33.3,74.7,RADAR
Aerospace | asset-tracking | autonomous-vehicles-drones,Aerospace,asset-tracking,autonomous-vehicles-drones,4,3,4,0.625,business_trigger; connectivity; cybersecurity; industrial_operations,11.2,25.0,15.6,16.0,67.9,100.0,79.9,0.0,74.1,RADAR
"Finance, Banking, Insurance | compliance-monitoring | cybersecurity-platform","Finance, Banking, Insurance",compliance-monitoring,cybersecurity-platform,4,4,4,0.538,business_trigger; connectivity; cybersecurity,18.8,25.0,13.4,16.0,73.2,75.0,76.8,50.0,72.0,RADAR
Defense | it-operations-automation | cybersecurity-platform,Defense,it-operations-automation,cybersecurity-platform,3,2,3,0.6,business_trigger; connectivity; cybersecurity; data_ai,15.0,16.7,15.0,12.0,58.7,100.0,62.0,33.3,71.1,RADAR
Wholesale | compliance-monitoring | cybersecurity-platform,Wholesale,compliance-monitoring,cybersecurity-platform,2,2,2,0.45,business_trigger; connectivity; cybersecurity; industrial_operations,18.8,16.7,11.2,8.0,54.7,100.0,49.8,50.0,69.3,RADAR
Public/Gov sector | anomaly-detection | cybersecurity-platform,Public/Gov sector,anomaly-detection,cybersecurity-platform,3,3,3,0.517,cloud_edge; connectivity; cybersecurity; data_ai,7.5,25.0,12.9,12.0,57.4,100.0,69.1,0.0,68.3,RADAR
Defense | asset-tracking | autonomous-vehicles-drones,Defense,asset-tracking,autonomous-vehicles-drones,3,2,3,0.867,connectivity; cybersecurity; industrial_operations,15.0,16.7,21.7,12.0,65.3,75.0,71.3,33.3,66.4,RADAR
Retail | asset-tracking | iot-platforms,Retail,asset-tracking,iot-platforms,3,2,3,0.867,business_trigger; connectivity; industrial_operations,15.0,16.7,21.7,12.0,65.3,75.0,71.3,33.3,66.4,RADAR
