article_id,vertical,title,summary,url,source_name,source_type,published_date,time_window,classification_status,use_case_id,technology_id,classification_confidence,classification_evidence,ml_usefulness_probability,ml_keep_recommended,source_quality_prior,source_independence_group,source_role,date_quality_flag,signal_type,signal_confidence,orange_relevance,orange_relevance_confidence,orange_fit_basis,orange_relevance_rationale,event_key,event_key_method,enrichment_method,enrichment_status,review_status,auto_positive_groups,auto_negative_groups,auto_matched_terms,auto_signal_terms,signal_points,is_urgent_signal,scoring_exclusion_reason
54409,Aerospace,Germany – Telephone and data transmission services – Innerstädtische Verbindungen der Kommunen und Internetaccess mit DDoS Absicherung,Buyer: ['ekom21 - Kommunales Gebietsrechenzentrum Hessen'] | Country: DEU | Notice type: cn-standard,https://ted.europa.eu/bg/notice/-/detail/578168-2026,TED,ted,2026-08-20T00:00:00+00:00,,needs_review,compliance-monitoring,cybersecurity-platform,0.4,"The article mentions 'Internetaccess mit DDoS Absicherung' (Internet access with DDoS protection), which loosely aligns with cybersecurity platforms and compliance/monitoring, but the notice is primarily a procurement contract for telephone and data services, making a strong use-case/technology match difficult.",0.840628981590271,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: cybersecurity, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/578168-2026,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,cybersecurity; business_trigger,,cybersecurity:cyber; cybersecurity:security; business_trigger:procurement; business_trigger:contract; business_trigger:compliance,procurement,4,True,taxonomy_not_classified
675,Aerospace,HawkEye 360 Gets NRO Award For Sustained Use Of Commercial RF Sensing Data,"The National Reconnaissance Office (NRO) on Monday said it has awarded HawkEye 360 [HAWK] a contract to augment the agency’s portfolio of classified space-based intelligence systems by taking greater advantage [&#8230;]<p><img alt=""AirDefenseMonitoring_Hero"" class=""attachment-post-thumbnail size-post-thumbnail wp-post-image"" height=""1080"" src=""https://www.defensedaily.com/wp-content/uploads/2026/08/airdefensemonitoring-hero.webp"" width=""1920"" /></p>",https://www.defensedaily.com/hawkeye-360-gets-nro-award-for-sustained-use-of-commercial-rf-sensing-data/space/,Defense Daily,rss,2026-08-17T20:53:55+00:00,,needs_review,,iot-platforms,0.35,"HawkEye 360 operates a satellite constellation collecting commercial RF sensing data, functioning as a space-based sensor network. The use case (intelligence/surveillance) does not map to any taxonomy entry, and the technology is an imperfect fit—IoT Platforms includes sensor networks, but this is satellite-based rather than typical IoT.",,,0.55,source_type:rss,secondary_media,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: connectivity, business_trigger; buying_signal signal detected.",https://www.defensedaily.com/hawkeye-360-gets-nro-award-for-sustained-use-of-commercial-rf-sensing-data/space/,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity; business_trigger,,connectivity:network; connectivity:satellite; connectivity:iot; business_trigger:contract,awarded,4,True,incomplete_taxonomy;taxonomy_not_classified
54441,Aerospace,Poland – Aircraft operating services – Realizacja obsług technicznych wraz z usuwaniem niesprawności na samolotach Diamond DA-42.,Buyer: ['Lotnicza Akademia Wojskowa'] | Country: POL | Notice type: cn-standard,https://ted.europa.eu/bg/notice/-/detail/550408-2025,TED,ted,2025-08-22T00:00:00+00:00,,needs_review,predictive-maintenance,,0.4,"The article mentions 'Realizacja obsług technicznych wraz z usuwaniem niesprawności' (carrying out technical maintenance along with removing malfunctions) on aircraft, which broadly relates to aircraft maintenance, though it is a procurement notice rather than a specific technology implementation.",0.27768874168395996,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/550408-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
54474,Aerospace,"France – Electrical domestic appliances for use with foodstuffs – ACQUISITION, MAINTENANCE PREVENTIVE ET CORRECTIVE DES EQUIPEMENTS DE RESTAURATION DES SATELLITES SCOLAIRES ? 3 LOTS",Buyer: ['M. Le maire'] | Country: FRA | Notice type: can-standard | Value: 7340000,https://ted.europa.eu/bg/notice/-/detail/550086-2025,TED,ted,2025-08-22T00:00:00+00:00,,needs_review,predictive-maintenance,,0.3,"The title mentions 'MAINTENANCE PREVENTIVE ET CORRECTIVE' (preventive and corrective maintenance) for satellite equipment, which loosely aligns with predictive-maintenance, though the article is a procurement notice rather than a description of an implemented technology solution.",0.4457925260066986,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: connectivity, data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/550086-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity; data_ai; industrial_operations; business_trigger,,connectivity:satellite; data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
39659,Aerospace,Enhancing Copernicus Security Services - EU governmental crisis management hub for forced population displacement,"Addressing critical challenges such as population displacement due to conflicts, exacerbated by factors like climate change, extreme weather events, food shortages, and poverty, remains paramount. The implementation of THEIA, integrating data fusion, processing, and analysis...",https://cordis.europa.eu/project/id/101190051,CORDIS,cordis,2024-12-01T00:00:00+00:00,recent,needs_review,anomaly-detection,cloud-data-platform,0.4,"The article discusses integrating data fusion, processing, and analysis for crisis management and monitoring forced population displacement, which loosely aligns with detecting abnormal patterns (anomaly-detection) and utilizing large-scale data infrastructure (cloud-data-platform) from Copernicus services.",0.9624231457710266,1,0.8,source_type:cordis,primary_institutional,valid_past,market_trend,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: cloud_edge, cybersecurity; market_trend signal detected.",https://cordis.europa.eu/project/id/101190051,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,cloud_edge; cybersecurity,,cloud_edge:cloud; cybersecurity:security,shortage,2,False,taxonomy_not_classified
54513,Aerospace,Germany-Neumarkt i.d.OPf.: Repair and maintenance services of medical and surgical equipment,Buyer: ['Klinikum Neumarkt - AöR des Landkreises Neumarkt i.d.OPf.'] | Country: DEU | Notice type: cn-standard | Value: 840336.13,https://ted.europa.eu/bg/notice/-/detail/428970-2021,TED,ted,2021-08-24T00:00:00+00:00,,needs_review,predictive-maintenance,,0.3,"The article mentions 'Repair and maintenance services' of medical equipment, which loosely relates to maintenance, but it is a procurement notice rather than a description of anticipating failures from data.",0.3580892086029053,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/428970-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
3617,Automotive,Hungary – Road traffic-control equipment – Forgalmi monitoring eszközök beszerzése X4ITS(ÚJ),Buyer: ['Budapest Közút Zártkörűen Működő Részvénytársaság'] | Country: HUN | Notice type: can-standard | Value: 298962600,https://ted.europa.eu/bg/notice/-/detail/576330-2026,TED,ted,2026-08-20T00:00:00+00:00,,needs_review,,iot-platforms,0.4,"The article details the procurement of road traffic-control and monitoring equipment, which typically involves sensor networks and telematics managed via IoT platforms. No specific business use case from the taxonomy fits traffic monitoring well.",0.43754681944847107,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: connectivity, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/576330-2026,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity; business_trigger,,connectivity:network; connectivity:iot; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
11269,Automotive,Netherlands – Repair and maintenance services – AI 2024-0205 Onderhoud Verkeerssystemen,"Buyer: ['Gemeente Amsterdam, Ingenieursbureau'] | Country: NLD | Notice type: can-standard | Value: 24000000",https://ted.europa.eu/bg/notice/-/detail/581431-2025,TED,ted,2025-09-05T00:00:00+00:00,,needs_review,predictive-maintenance,machine-learning,0.4,"The article title mentions 'AI' and 'Onderhoud Verkeerssystemen' (Maintenance of Traffic Systems) in the Automotive vertical, suggesting AI applied to maintenance, but the summary only provides procurement details without technical specifics.",0.8855916857719421,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/581431-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:ai; data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,taxonomy_not_classified
11271,Automotive,"Ireland – Computer equipment and supplies – PROJ000010575 - IHW039F-3-007 - MC for the provision of a Virtualised Storage, Compute and Data Protection Solution for South Dublin County Council",Buyer: ['The Office of Government Procurement'] | Country: IRL | Notice type: can-standard | Value: 2645000,https://ted.europa.eu/bg/notice/-/detail/582055-2025,TED,ted,2025-09-05T00:00:00+00:00,,needs_review,,cloud-data-platform,0.4,"The article mentions the provision of a 'Virtualised Storage, Compute and Data Protection Solution', which loosely aligns with cloud data platform infrastructure, but lacks specific detail on use case or advanced technology.",0.6434620022773743,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: cloud_edge, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/582055-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,cloud_edge; business_trigger,,cloud_edge:cloud; cloud_edge:data platform; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
11275,Automotive,Romania – Air-traffic control simulation – Sistem D-ATIS la DSNA Suceava,Buyer: ['R.A. ROMATSA - ADMINISTRATIA ROMANA A SERVICIILOR DE TRAFIC AERIAN'] | Country: ROU | Notice type: can-modif | Value: 159076,https://ted.europa.eu/bg/notice/-/detail/581902-2025,TED,ted,2025-09-05T00:00:00+00:00,,needs_review,,digital-twin,0.3,"The article mentions 'Air-traffic control simulation', which loosely aligns with digital twin concepts (virtual replicas/simulations of physical systems), but the notice is primarily a procurement modification for an ATIS system, making the fit weak and the context too vague for a high-confidence classification.",0.636263906955719,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/581902-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; business_trigger,,data_ai:digital twin; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
