opportunity_id,vertical,use_case_id,technology_id,evidence_count,independent_source_count,independent_event_count,average_source_quality,capability_groups,signal_component,independence_component,quality_component,momentum_component,attractiveness_score,orange_fit_score,confidence_score,urgency_score,priority_score,publication_status
Natural Resources | predictive-maintenance | iot-platforms,Natural Resources,predictive-maintenance,iot-platforms,1,1,1,0.9,business_trigger; connectivity; data_ai; industrial_operations,30.0,8.3,22.5,4.0,64.8,100.0,48.5,100.0,78.2,WATCHLIST
Public/Gov sector | asset-tracking | iot-platforms,Public/Gov sector,asset-tracking,iot-platforms,1,1,1,0.55,business_trigger; cloud_edge; connectivity; industrial_operations,22.5,8.3,13.8,4.0,48.6,100.0,36.2,100.0,69.9,WATCHLIST
Wholesale | warehouse-automation | warehouse-automation-systems,Wholesale,warehouse-automation,warehouse-automation-systems,1,1,1,0.9,business_trigger; data_ai; industrial_operations,30.0,8.3,22.5,4.0,64.8,75.0,48.5,100.0,69.5,WATCHLIST
Aerospace | predictive-maintenance | iot-platforms,Aerospace,predictive-maintenance,iot-platforms,2,1,2,0.8,business_trigger; connectivity; data_ai; industrial_operations,15.0,8.3,20.0,8.0,51.3,100.0,52.0,50.0,68.3,WATCHLIST
Energy | energy-optimization | cloud-data-platform,Energy,energy-optimization,cloud-data-platform,3,1,3,0.8,business_trigger; cloud_edge; connectivity; industrial_operations,12.5,8.3,20.0,12.0,52.8,100.0,59.0,33.3,68.3,WATCHLIST
Public/Gov sector | compliance-monitoring | machine-learning,Public/Gov sector,compliance-monitoring,machine-learning,1,1,1,0.8,business_trigger; cybersecurity; data_ai,30.0,8.3,20.0,4.0,62.3,75.0,45.0,100.0,67.9,WATCHLIST
Public/Gov sector | compliance-monitoring | iot-platforms,Public/Gov sector,compliance-monitoring,iot-platforms,1,1,1,0.8,business_trigger; connectivity; cybersecurity,22.5,8.3,20.0,4.0,54.8,75.0,45.0,100.0,64.9,WATCHLIST
Defense | automated-inspection-defect-detection | iot-platforms,Defense,automated-inspection-defect-detection,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
"Finance, Banking, Insurance | compliance-monitoring | computer-vision","Finance, Banking, Insurance",compliance-monitoring,computer-vision,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Lifesciences | anomaly-detection | cybersecurity-platform,Lifesciences,anomaly-detection,cybersecurity-platform,1,1,1,0.9,business_trigger; cybersecurity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Manufacturing | asset-tracking | autonomous-vehicles-drones,Manufacturing,asset-tracking,autonomous-vehicles-drones,1,1,1,0.9,business_trigger; industrial_operations,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
