source_dataset,purpose,year,country,nace_code,region,size_class,indic_sbs,observed_value,status_flag,raw_value
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C,dach,50-249,ENT_NR,1382.0,p,1382 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C,dach,GE250,ENT_NR,516.0,p,516 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C29,dach,50-249,ENT_NR,32.0,p,32 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C29,dach,GE250,ENT_NR,24.0,p,24 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BE,C,benelux,50-249,ENT_NR,1140.0,p,1140 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BE,C,benelux,GE250,ENT_NR,312.0,p,312 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BE,C29,benelux,50-249,ENT_NR,26.0,p,26 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BE,C29,benelux,GE250,ENT_NR,15.0,p,15 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BG,C,eastern_europe,50-249,ENT_NR,1419.0,p,1419 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BG,C,eastern_europe,GE250,ENT_NR,252.0,p,252 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BG,C29,eastern_europe,50-249,ENT_NR,17.0,p,17 p
sbs_sc_ovw,primary_enterprise_denominator,2024,BG,C29,eastern_europe,GE250,ENT_NR,20.0,p,20 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CH,C,dach,50-249,ENT_NR,1910.0,p,1910 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CH,C,dach,GE250,ENT_NR,397.0,p,397 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CH,C29,dach,50-249,ENT_NR,15.0,p,15 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CH,C29,dach,GE250,ENT_NR,3.0,p,3 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CZ,C,eastern_europe,50-249,ENT_NR,2850.0,p,2850 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CZ,C,eastern_europe,GE250,ENT_NR,813.0,p,813 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CZ,C29,eastern_europe,50-249,ENT_NR,159.0,p,159 p
sbs_sc_ovw,primary_enterprise_denominator,2024,CZ,C29,eastern_europe,GE250,ENT_NR,140.0,p,140 p
sbs_sc_ovw,primary_enterprise_denominator,2024,DE,C,germany,50-249,ENT_NR,14980.0,p,14980 p
