article_id,vertical,use_case_id,technology_id,source_name,source_type,title,url,published_date,total_contract_value_raw,notice_type,buyer_country,cpv_codes,deadline,is_award_notice,value_observation_status,currency_status,annualisation_status,comparability_note
54409,Aerospace,compliance-monitoring,cybersecurity-platform,TED,ted,Germany – Telephone and data transmission services – Innerstädtische Verbindungen der Kommunen und Internetaccess mit DDoS Absicherung,https://ted.europa.eu/bg/notice/-/detail/578168-2026,2026-08-20T00:00:00+00:00,,cn-standard,['DEU'],64210000; 32561000; 72720000; 72400000; 64210000; 72400000; 72400000,,False,excluded_no_positive_value,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
54416,Aerospace,diagnostic-support,computer-vision,TED,ted,Germany – CT scanners – PET/CT,https://ted.europa.eu/bg/notice/-/detail/577708-2026,2026-08-20T00:00:00+00:00,,cn-standard,['DEU'],33115100; 33110000; 33115100; 33110000,['2026-09-04T23:59:59+02:00'],False,excluded_no_positive_value,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
3433,Automotive,asset-tracking,rfid-asset-tagging,TED,ted,"Poland – Waste and rubbish containers and bins – Zakup, dostawa i rozwiezienie fabrycznie nowych pojemników do zbiórki odpadów komunalnych dla Gminy Brwinów wyposażonych w chip",https://ted.europa.eu/bg/notice/-/detail/578319-2026,2026-08-21T00:00:00+00:00,967456.51,cn-standard,['POL'],34928480; 34928480,['2026-09-08T00:00:00+02:00'],False,demand_signal_only_not_awarded,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
3465,Automotive,asset-tracking,iot-platforms,TED,ted,Germany – Vehicle-fleet-support services – Fuhrparkmanagementsystem,https://ted.europa.eu/bg/notice/-/detail/578236-2026,2026-08-21T00:00:00+00:00,15000000.0,cn-standard,['DEU'],50111110; 50111100; 50111000; 50100000; 50111110; 50111100; 50111000; 50100000,['2026-09-04T23:59:59+02:00'],False,demand_signal_only_not_awarded,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
11269,Automotive,predictive-maintenance,machine-learning,TED,ted,Netherlands – Repair and maintenance services – AI 2024-0205 Onderhoud Verkeerssystemen,https://ted.europa.eu/bg/notice/-/detail/581431-2025,2025-09-05T00:00:00+00:00,24000000.0,can-standard,['NLD'],50000000; 34923000; 45316210; 50232200; 50000000; 50000000; 50000000; 34923000; 45316210; 50232200; 34923000; 45316210; 50232200; 34923000; 45316210; 50232200,,True,award_value_requires_currency_validation,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
45827,Automotive,asset-tracking,iot-platforms,TED,ted,Germany – Transport equipment and auxiliary products to transportation – Rahmenvertrag - Beschaffung Sensoren für die Fahrgastzählanlage,https://ted.europa.eu/bg/notice/-/detail/550831-2025,2025-08-22T00:00:00+00:00,530000.0,can-standard,['DEU'],34000000; 30237475; 34000000; 30237475,,True,award_value_requires_currency_validation,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
45869,Automotive,route-optimization,autonomous-vehicles-drones,TED,ted,"Poland – Refuse-collection vehicles – Zakup, dostawa i serwis fabrycznie nowych samochodów bezpylnych oraz szkolenia w zakresie przewidzianym przez Zamawiającego",https://ted.europa.eu/bg/notice/-/detail/548943-2025,2025-08-22T00:00:00+00:00,,cn-standard,['POL'],34144511; 34144511; 34144511; 34144511; 34144511; 34144511; 34144511; 34144511; 34144511; 34144511,,False,excluded_no_positive_value,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
17781,Automotive,energy-optimization,iot-platforms,TED,ted,Latvia – Road lights – Viedo pilsētvides tehnoloģiju ieviešana Bauskas novada ielu apgaismojumā,https://ted.europa.eu/bg/notice/-/detail/545338-2025,2025-08-21T00:00:00+00:00,,cn-standard,['LVA'],34993000; 51000000; 71340000; 34993000; 51000000; 71340000,,False,excluded_no_positive_value,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
45936,Automotive,asset-tracking,iot-platforms,TED,ted,Spain-Los Barrios: Refuse-collection vehicles,https://ted.europa.eu/bg/notice/-/detail/428476-2021,2021-08-24T00:00:00+00:00,2389522.7,cn-standard,['ESP'],34144000; 34144511,,False,demand_signal_only_not_awarded,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
3156,Defense,anomaly-detection,computer-vision,TED,ted,France – Video-surveillance system – Déploiement d’un système permanent de vidéodétection et de localisation par intelligence artificielle des feux de forêts et incendies,https://ted.europa.eu/bg/notice/-/detail/578510-2026,2026-08-21T00:00:00+00:00,1200000.0,cn-standard,['FRA'],32323500; 35120000; 35125300; 48000000; 32323500; 35120000; 35125300; 48000000,,False,demand_signal_only_not_awarded,not_collected_in_source_database,not_available_contract_duration_not_collected,"Taxonomy-linked TED observation. Validate scope, currency and contract duration before using it as a comparable annual engagement value."
