source_dataset,purpose,year,country,nace_code,region,size_class,indic_sbs,observed_value,status_flag,raw_value
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,B,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,B,eastern_europe,50-249,ENT_NR,29.0,p,29 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,B,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,C,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,C,eastern_europe,50-249,ENT_NR,1419.0,p,1419 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,C,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,F,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,F,eastern_europe,50-249,ENT_NR,538.0,p,538 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,F,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,H,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,H,eastern_europe,50-249,ENT_NR,282.0,p,282 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,H,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,K,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,K,eastern_europe,50-249,ENT_NR,78.0,p,78 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,BG,K,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,B,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,B,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,B,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,C,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,C,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,C,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,F,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,F,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,F,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,H,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,H,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,H,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,K,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,K,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,CZ,K,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,B,germany,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,B,germany,50-249,ENT_NR,120.0,p,120 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,B,germany,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,C,germany,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,C,germany,50-249,ENT_NR,14980.0,p,14980 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,C,germany,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,F,germany,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,F,germany,50-249,ENT_NR,4484.0,p,4484 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,F,germany,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,H,germany,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,H,germany,50-249,ENT_NR,4140.0,p,4140 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,H,germany,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,K,germany,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,K,germany,50-249,ENT_NR,893.0,p,893 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,DE,K,germany,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,B,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,B,southern_europe,50-249,ENT_NR,46.0,p,46 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,B,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,C,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,C,southern_europe,50-249,ENT_NR,4952.0,p,4952 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,C,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,F,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,F,southern_europe,50-249,ENT_NR,1847.0,p,1847 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,F,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,H,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,H,southern_europe,50-249,ENT_NR,1296.0,p,1296 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,H,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,K,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,K,southern_europe,50-249,ENT_NR,379.0,p,379 p
