source_dataset,purpose,year,country,nace_code,region,size_class,indic_sbs,observed_value,status_flag,raw_value
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,B,dach,50-249,ENT_NR,21.0,p,21 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,B,dach,GE250,ENT_NR,3.0,p,3 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C,dach,50-249,ENT_NR,1382.0,p,1382 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C,dach,GE250,ENT_NR,516.0,p,516 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C21,dach,50-249,ENT_NR,15.0,p,15 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C21,dach,GE250,ENT_NR,14.0,p,14 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C254,dach,50-249,ENT_NR,2.0,p,2 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C254,dach,GE250,ENT_NR,1.0,p,1 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C29,dach,50-249,ENT_NR,32.0,p,32 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C29,dach,GE250,ENT_NR,24.0,p,24 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C303,dach,50-249,ENT_NR,6.0,p,6 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,C303,dach,GE250,ENT_NR,2.0,p,2 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,D35,dach,50-249,ENT_NR,37.0,p,37 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,D35,dach,GE250,ENT_NR,22.0,p,22 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,F,dach,50-249,ENT_NR,702.0,p,702 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,F,dach,GE250,ENT_NR,94.0,p,94 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,G46,dach,50-249,ENT_NR,546.0,p,546 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,G46,dach,GE250,ENT_NR,107.0,p,107 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,G47,dach,50-249,ENT_NR,302.0,p,302 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,G47,dach,GE250,ENT_NR,102.0,p,102 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,H,dach,50-249,ENT_NR,423.0,p,423 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,H,dach,GE250,ENT_NR,84.0,p,84 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,J58,dach,50-249,ENT_NR,51.0,p,51 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,J58,dach,GE250,ENT_NR,10.0,p,10 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,J59,dach,50-249,ENT_NR,11.0,p,11 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,J59,dach,GE250,ENT_NR,3.0,p,3 p
sbs_sc_ovw,primary_enterprise_denominator,2024,AT,J60,dach,50-249,ENT_NR,5.0,p,5 p
