country,region,employment_year,public_employment_persons,employment_status_flag,general_public_services_expenditure_eur,defence_expenditure_eur,general_public_services_year,defence_expenditure_year,observed_unique_ted_buyers,observed_ted_notices,employment_coverage_status,expenditure_coverage_status,buyer_denominator_method,buyer_denominator_interpretation,market_scope
NL,benelux,2024.0,661000.0,p,46190000000.0,18279000000.0,2024.0,2024.0,100,108,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
BE,benelux,2024.0,459500.0,p,44305600000.0,7946400000.0,2024.0,2024.0,89,100,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
LU,benelux,2024.0,32630.000000000004,p,4790800000.0,572500000.0,2024.0,2024.0,4,6,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
FR,france,2024.0,2535100.0,p,181103200000.0,54199000000.0,2024.0,2024.0,406,437,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
DE,germany,2024.0,2915000.0,p,277890000000.0,58583000000.0,2024.0,2024.0,596,758,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
IT,southern_europe,2024.0,1213100.0,,170414000000.0,28301000000.0,2024.0,2024.0,163,187,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
ES,southern_europe,2024.0,1727400.0,p,92551000000.0,14233000000.0,2024.0,2024.0,247,341,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
PT,southern_europe,2024.0,311480.0,p,16871800000.0,2525800000.0,2024.0,2024.0,57,77,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
IL,southern_europe,,,,,,,,0,0,missing,missing,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
CH,dach,2024.0,205720.0,,38849500000.0,7408900000.0,2024.0,2024.0,45,69,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
AT,dach,2024.0,280500.0,,29860200000.0,3339500000.0,2024.0,2024.0,50,89,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
GB,uk_ireland,,,,,,,,0,0,missing,missing,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
IE,uk_ireland,2024.0,150770.0,,11505800000.0,840700000.0,2024.0,2024.0,63,82,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
NO,nordics,2024.0,211000.0,,24781800000.0,9920500000.0,2024.0,2024.0,85,81,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
SE,nordics,2024.0,245000.0,,30977400000.0,10967900000.0,2024.0,2024.0,100,103,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
DK,nordics,2024.0,169820.0,,22324700000.0,7234600000.0,2024.0,2024.0,84,60,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
FI,nordics,2024.0,149100.0,,19721000000.0,4300000000.0,2024.0,2024.0,121,95,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
IS,nordics,2024.0,14570.0,p,2338500000.0,63800000.0,2024.0,2024.0,6,8,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
BG,eastern_europe,2024.0,217770.0,,3075300000.0,1344500000.0,2024.0,2024.0,1,2,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
HR,eastern_europe,2024.0,116880.0,p,4756300000.0,1259700000.0,2024.0,2024.0,632,65,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
CZ,eastern_europe,2024.0,325810.0,,14943100000.0,4182700000.0,2024.0,2024.0,117,213,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
EE,eastern_europe,2024.0,44240.0,,1725900000.0,1491200000.0,2024.0,2024.0,20,30,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
HU,eastern_europe,2024.0,346260.0,,20598200000.0,4092600000.0,2024.0,2024.0,96,50,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
LV,eastern_europe,2024.0,65040.00000000001,,1850300000.0,1104200000.0,2024.0,2024.0,77,113,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
LT,eastern_europe,2024.0,98650.0,,2806500000.0,2037300000.0,2024.0,2024.0,51,98,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
PL,eastern_europe,2024.0,1242700.0,,43916000000.0,24952000000.0,2024.0,2024.0,655,848,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
RO,eastern_europe,2024.0,409700.0,p,20616700000.0,5802800000.0,2024.0,2024.0,208,322,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
SK,eastern_europe,2024.0,169370.0,,7127400000.0,1800500000.0,2024.0,2024.0,35,53,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
SI,eastern_europe,2024.0,51100.0,,3115800000.0,952100000.0,2024.0,2024.0,99,71,available,available,deduplicated_opportunity_linked_ted_buyers,Observed procurement-active lower bound; not the total number of public authorities.,Orange Business Europe market-sizing scope
