source_dataset,purpose,year,country,nace_code,region,indic_sbs,observed_value,status_flag,raw_value
sbs_ovw_iep,market_size_plausibility_context,2021,AT,B,dach,INV_SOFT_MEUR,7.91,,7.91
sbs_ovw_iep,market_size_plausibility_context,2021,AT,C,dach,INV_SOFT_MEUR,368.81,,368.81
sbs_ovw_iep,market_size_plausibility_context,2021,AT,C21,dach,INV_SOFT_MEUR,8.26,,8.26
sbs_ovw_iep,market_size_plausibility_context,2021,AT,C29,dach,INV_SOFT_MEUR,12.95,,12.95
sbs_ovw_iep,market_size_plausibility_context,2021,AT,D35,dach,INV_SOFT_MEUR,75.07,,75.07
sbs_ovw_iep,market_size_plausibility_context,2021,AT,F,dach,INV_SOFT_MEUR,31.92,,31.92
sbs_ovw_iep,market_size_plausibility_context,2021,BE,B,benelux,INV_SOFT_MEUR,4.04,,4.04
sbs_ovw_iep,market_size_plausibility_context,2021,BE,C,benelux,INV_SOFT_MEUR,180.57,,180.57
sbs_ovw_iep,market_size_plausibility_context,2021,BE,C21,benelux,INV_SOFT_MEUR,0.61,,0.61
sbs_ovw_iep,market_size_plausibility_context,2021,BE,C29,benelux,INV_SOFT_MEUR,0.67,,0.67
sbs_ovw_iep,market_size_plausibility_context,2021,BE,D35,benelux,INV_SOFT_MEUR,98.71,,98.71
sbs_ovw_iep,market_size_plausibility_context,2021,BE,F,benelux,INV_SOFT_MEUR,21.02,,21.02
sbs_ovw_iep,market_size_plausibility_context,2021,BG,B,eastern_europe,INV_SOFT_MEUR,2.73,,2.73
sbs_ovw_iep,market_size_plausibility_context,2021,BG,C,eastern_europe,INV_SOFT_MEUR,18.44,,18.44
sbs_ovw_iep,market_size_plausibility_context,2021,BG,C21,eastern_europe,INV_SOFT_MEUR,,,: @C
sbs_ovw_iep,market_size_plausibility_context,2021,BG,C29,eastern_europe,INV_SOFT_MEUR,0.81,,0.81
sbs_ovw_iep,market_size_plausibility_context,2021,BG,D35,eastern_europe,INV_SOFT_MEUR,7.9,,7.90
sbs_ovw_iep,market_size_plausibility_context,2021,BG,F,eastern_europe,INV_SOFT_MEUR,1.35,,1.35
sbs_ovw_iep,market_size_plausibility_context,2021,CZ,B,eastern_europe,INV_SOFT_MEUR,3.94,,3.94
