technology_proxy,technology_label,source_dataset,indicator,year,country,region,source_nace_code,size_class,unit,adoption_rate_percent,adoption_rate,basis,proxy_reason,status_flag,raw_value
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,AT,dach,C10-S951_X_K,50-249,PC_ENT,44.56,0.4456,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,44.56
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,AT,dach,C10-S951_X_K,GE250,PC_ENT,68.26,0.6826000000000001,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,68.26
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,BE,benelux,C10-S951_X_K,50-249,PC_ENT,54.49,0.5449,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,54.49
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,BE,benelux,C10-S951_X_K,GE250,PC_ENT,76.41,0.7641,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,76.41
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,BG,eastern_europe,C10-S951_X_K,50-249,PC_ENT,13.3,0.133,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,13.30
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,BG,eastern_europe,C10-S951_X_K,GE250,PC_ENT,26.18,0.2618,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,26.18
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,CZ,eastern_europe,C10-S951_X_K,50-249,PC_ENT,28.79,0.2879,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,28.79
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,CZ,eastern_europe,C10-S951_X_K,GE250,PC_ENT,54.1,0.541,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,54.10
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,DE,germany,C10-S951_X_K,50-249,PC_ENT,35.56,0.3556,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,35.56
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,DE,germany,C10-S951_X_K,GE250,PC_ENT,56.99,0.5699000000000001,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,56.99
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,DK,nordics,C10-S951_X_K,50-249,PC_ENT,58.27,0.5827,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,58.27
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,DK,nordics,C10-S951_X_K,GE250,PC_ENT,74.52,0.7452,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,74.52
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,EE,eastern_europe,C10-S951_X_K,50-249,PC_ENT,33.1,0.331,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,33.10
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,EE,eastern_europe,C10-S951_X_K,GE250,PC_ENT,52.9,0.529,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,52.90
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,ES,southern_europe,C10-S951_X_K,50-249,PC_ENT,30.1,0.301,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,30.10
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,ES,southern_europe,C10-S951_X_K,GE250,PC_ENT,57.46,0.5746,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,57.46
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,FI,nordics,C10-S951_X_K,50-249,PC_ENT,51.35,0.5135000000000001,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,51.35
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,FI,nordics,C10-S951_X_K,GE250,PC_ENT,79.4,0.794,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,79.40
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,FR,france,C10-S951_X_K,50-249,PC_ENT,30.81,0.3081,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,30.81
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,FR,france,C10-S951_X_K,GE250,PC_ENT,58.01,0.5801,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,58.01
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,HR,eastern_europe,C10-S951_X_K,50-249,PC_ENT,25.5,0.255,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,25.50
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,HR,eastern_europe,C10-S951_X_K,GE250,PC_ENT,39.57,0.3957,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,39.57
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,HU,eastern_europe,C10-S951_X_K,50-249,PC_ENT,15.34,0.1534,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,15.34
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,HU,eastern_europe,C10-S951_X_K,GE250,PC_ENT,39.99,0.39990000000000003,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,39.99
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,IE,uk_ireland,C10-S951_X_K,50-249,PC_ENT,28.02,0.2802,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,28.02
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,IE,uk_ireland,C10-S951_X_K,GE250,PC_ENT,57.27,0.5727,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,57.27
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,IT,southern_europe,C10-S951_X_K,50-249,PC_ENT,27.62,0.2762,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,27.62
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,IT,southern_europe,C10-S951_X_K,GE250,PC_ENT,53.09,0.5309,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,53.09
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,LT,eastern_europe,C10-S951_X_K,50-249,PC_ENT,30.36,0.3036,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,30.36
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,LT,eastern_europe,C10-S951_X_K,GE250,PC_ENT,51.75,0.5175,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,51.75
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,LU,benelux,C10-S951_X_K,50-249,PC_ENT,43.68,0.4368,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,43.68
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,LU,benelux,C10-S951_X_K,GE250,PC_ENT,57.97,0.5797,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,57.97
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,LV,eastern_europe,C10-S951_X_K,50-249,PC_ENT,19.78,0.1978,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,19.78
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,LV,eastern_europe,C10-S951_X_K,GE250,PC_ENT,47.09,0.47090000000000004,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,47.09
ai,Enterprise use of any AI technology,isoc_eb_ai,E_AI_TANY,2025,NL,benelux,C10-S951_X_K,50-249,PC_ENT,46.62,0.46619999999999995,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,46.62
