opportunity_key,vertical,use_case_id,technology_id,market_size_status,europe_low_eur,europe_central_eur,europe_high_eur,countries_covered,countries_expected,coverage_ratio,coverage_status,nace_component_coverage_ratio,nace_component_coverage_status,blocking_reasons,public_employment_persons,general_public_services_expenditure_eur,defence_expenditure_eur,linked_ted_notice_count,nace_codes,denominator_method,vertical_mapping_status,vertical_mapping_quality,vertical_statistical_scope,vertical_mapping_limitation,technology_proxy,technology_mapping_status
Aerospace|anomaly-detection|cybersecurity-platform,Aerospace,anomaly-detection,cybersecurity-platform,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",cybersecurity,mapped_proxy
Aerospace|anomaly-detection|machine-learning,Aerospace,anomaly-detection,machine-learning,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",ai,mapped_proxy
Aerospace|asset-tracking|autonomous-vehicles-drones,Aerospace,asset-tracking,autonomous-vehicles-drones,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
Aerospace|asset-tracking|blockchain-distributed-ledger,Aerospace,asset-tracking,blockchain-distributed-ledger,pending_or_unavailable,,,,0,29,0.0,no_country_data,0.0,no_component_data,blocked_technology_proxy_gap,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",,no_defensible_available_ict_proxy
Aerospace|asset-tracking|computer-vision,Aerospace,asset-tracking,computer-vision,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",ai,mapped_proxy
Aerospace|asset-tracking|industrial-robotics,Aerospace,asset-tracking,industrial-robotics,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
Aerospace|asset-tracking|iot-platforms,Aerospace,asset-tracking,iot-platforms,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
Aerospace|automated-inspection-defect-detection|computer-vision,Aerospace,automated-inspection-defect-detection,computer-vision,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",ai,mapped_proxy
Aerospace|automated-inspection-defect-detection|industrial-robotics,Aerospace,automated-inspection-defect-detection,industrial-robotics,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
Aerospace|automated-inspection-defect-detection|iot-platforms,Aerospace,automated-inspection-defect-detection,iot-platforms,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
