source_space_id,vertical,use_case_id,use_case_label,technology_id,technology_label,article_count,avg_client_relevance,linked_article_ids,first_seen_at,last_updated_at
143,Defense,compliance-monitoring,Compliance monitoring,cybersecurity-platform,Cybersecurity Platform,14,,25013 33066 33232 33345 33415 33557 40795 40829 40839 40854 40952 40967 40969 40994,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
465,Energy,energy-optimization,Energy optimization,digital-twin,Digital Twin,13,,41765 41777 41780 41801 41808 41820 41824 41834 41844 41846 41847 41848 41932,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
152,Energy,energy-optimization,Energy optimization,iot-platforms,IoT Platforms,11,,25934 41759 41763 41787 41794 41800 41851 41855 41930 41936 41979,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
31,Automotive,asset-tracking,Asset tracking,iot-platforms,IoT Platforms,8,,368 370 377 388 412 435 3465 45827,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
46,Healthcare,diagnostic-support,Diagnostic support,machine-learning,Machine Learning,8,,648 26568 26631 42422 42474 42573 42594 42596,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
161,Healthcare,diagnostic-support,Diagnostic support,generative-ai-llms,Generative AI / LLMs,8,,26550 26561 26592 26606 42396 42402 42488 42491,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
47,Aerospace,asset-tracking,Asset tracking,iot-platforms,IoT Platforms,7,,698 27225 27250 39675 39693 39738 39835,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
168,Aerospace,environmental-emissions-monitoring,Environmental/emissions monitoring,machine-learning,Machine Learning,7,,27076 39618 39621 39656 39661 39817 39825,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
57,Defense,asset-tracking,Asset tracking,autonomous-vehicles-drones,Autonomous Vehicles / Drones,7,,3173 10982 11080 11086 40757 40849 40951,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
140,Natural Resources,environmental-emissions-monitoring,Environmental/emissions monitoring,iot-platforms,IoT Platforms,7,,19528 42614 42646 42685 42693 42789 42802,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
26,Public/Gov sector,compliance-monitoring,Compliance monitoring,cybersecurity-platform,Cybersecurity Platform,7,,288 10628 32602 32869 40699 40701 45356,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
173,Aerospace,environmental-emissions-monitoring,Environmental/emissions monitoring,iot-platforms,IoT Platforms,6,,27191 39665 39691 39720 39820 39821,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
174,Aerospace,environmental-emissions-monitoring,Environmental/emissions monitoring,cloud-data-platform,Cloud Data Platform,6,,27193 39652 39670 39699 39792 39804,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
361,Aerospace,network-optimization,Network optimization,connectivity-5g,5G Connectivity,6,,39624 39682 39683 39686 39716 39851,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
41,Lifesciences,diagnostic-support,Diagnostic support,machine-learning,Machine Learning,6,,498 25793 41502 41734 41738 44043,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
141,Retail,personalized-recommendations,Personalized recommendations,generative-ai-llms,Generative AI / LLMs,6,,24329 31394 31512 31781 31824 40117,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
177,Aerospace,asset-tracking,Asset tracking,autonomous-vehicles-drones,Autonomous Vehicles / Drones,5,,27277 27343 39634 39672 39847,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
170,Aerospace,environmental-emissions-monitoring,Environmental/emissions monitoring,computer-vision,Computer Vision,5,,27137 27215 39638 39818 39841,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
197,Automotive,route-optimization,Route optimization,autonomous-vehicles-drones,Autonomous Vehicles / Drones,5,,34124 34254 41000 41107 45869,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
137,Defense,anomaly-detection,Anomaly detection,iot-platforms,IoT Platforms,5,,17509 40766 40812 40855 40879,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
150,Energy,energy-optimization,Energy optimization,machine-learning,Machine Learning,5,,25860 25908 35712 41782 41792,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
185,"Finance, Banking, Insurance",compliance-monitoring,Compliance monitoring,cybersecurity-platform,Cybersecurity Platform,5,,32107 32172 32188 32399 40355,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
362,Aerospace,precision-agriculture,Precision agriculture,iot-platforms,IoT Platforms,4,,39673 39681 39684 39800,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
167,Aerospace,route-optimization,Route optimization,autonomous-vehicles-drones,Autonomous Vehicles / Drones,4,,27068 27078 27238 27278,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
440,Automotive,predictive-maintenance,Predictive maintenance,digital-twin,Digital Twin,4,,41006 41018 41190 41238,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
65,Energy,predictive-maintenance,Predictive maintenance,iot-platforms,IoT Platforms,4,,4387 41799 41803 41823,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
16,"Finance, Banking, Insurance",risk-scoring,Risk scoring,machine-learning,Machine Learning,4,,75 170 32432 40494,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
159,Media & Entertainment,sentiment-analysis,Sentiment analysis,natural-language-processing,Natural Language Processing,4,,26390 26394 26495 26533,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
23,Public/Gov sector,anomaly-detection,Anomaly detection,cybersecurity-platform,Cybersecurity Platform,4,,274 281 285 32538,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
183,Retail,warehouse-automation,Warehouse automation,industrial-robotics,Industrial Robotics,4,,31735 40112 40114 40163,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
453,Transportation & Construction,environmental-emissions-monitoring,Environmental/emissions monitoring,digital-twin,Digital Twin,4,,41247 41251 41252 41354,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
200,Transportation & Construction,route-optimization,Route optimization,machine-learning,Machine Learning,4,,34440 34449 34463 34464,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
