id,connector,source_name,source_type,source_quality,title,url_canonical,guid,published_at,collected_at,content,geography,vertical_hint,domain_hint,signal_type_hint,extra_json
1,rss,ZDNet,trade_press,3,These 2 WFH items are a splurge - but I'd highly recommend them,https://www.zdnet.com/article/eureka-ark-sd-desk-flexispot-c7-morpher-chair-testimonial,12467507-50a8-4f82-b91e-e7bce0757ea7,2026-08-20T10:00:50+00:00,2026-08-20T10:08:36.811086+00:00,Eureka's Ark SD desk and the FlexiSpot C7 Morpher chair completely elevated my work-from-home experience.,,,,,{}
2,rss,ZDNet,trade_press,3,How to use your TV as a PC monitor in 3 simple steps (and without buying anything),https://www.zdnet.com/article/how-to-use-your-tv-as-a-pc-monitor,024f1006-4629-48c5-a672-7c2fd0a80eb0,2026-08-20T09:45:42+00:00,2026-08-20T10:08:36.816701+00:00,Breathe new life into an old TV by setting it up as a PC monitor with gear you may already have around the house.,,,,,{}
3,rss,ZDNet,trade_press,3,Is leasing an iPhone right for you? How Apple's Upgrade Program works and who it's for,https://www.zdnet.com/article/leasing-iphone-right-how-apples-upgrade-program-works,71492d8f-8a96-48e0-a6d2-5b727d1e814f,2026-08-20T01:01:23+00:00,2026-08-20T10:08:36.816758+00:00,"Apple recently partnered with Klarna to revamp its Upgrade Program, which lets you lease some Apple devices for a low monthly fee.",,,,,{}
4,rss,ZDNet,trade_press,3,Can MainstreamOS finally make Linux a household name? I tried it to find out,https://www.zdnet.com/article/mainstreamos-linux-distro-arch-hyprland,a23c91a6-cb57-4029-a84f-180e47cc508f,2026-08-19T17:20:50+00:00,2026-08-20T10:08:36.816774+00:00,"Finally, there's a Linux distro that makes Arch and Hyprland easy - while adding the polish of MacOS. What's not to love about MainstreamOS?",,,,,{}
5,rss,ZDNet,trade_press,3,Your Comcast router doubles as a motion detector now - and a potential police informant,https://www.zdnet.com/article/comcast-routers-detect-motion,b6e9bee9-cc51-4e1a-b677-cb05ff8fa1fb,2026-08-19T17:13:57+00:00,2026-08-20T10:08:36.816785+00:00,"Opinion: Comcast's new motion detection technology could benefit your home, but it also raises privacy concerns. The details are in the fine print.",,,,,{}
6,rss,ZDNet,trade_press,3,"After testing the Pixel 11, I feel fine about skipping the Pro models - here's why",https://www.zdnet.com/article/google-pixel-11-first-look,5c517851-063f-4786-aa3b-6a04fa7aba1b,2026-08-19T16:35:00+00:00,2026-08-20T10:08:36.816794+00:00,"The design is largely unchanged from last year, but the Pixel 11 base model has an improved camera, Tensor G6 chip, and new colors.",,,,,{}
7,rss,ZDNet,trade_press,3,"I replaced my Samsung with the Google Pixel 11 Pro Fold - a week later, I'm going back",https://www.zdnet.com/article/google-pixel-11-pro-fold-review,09390932-149b-4f0c-b032-6392c014d887,2026-08-19T16:01:00+00:00,2026-08-20T10:08:36.816803+00:00,"The subtle changes are nice, but not enough to justify spending $1,900 on Google's latest foldable phone when better alternatives exist.",,,,,{}
8,rss,ZDNet,trade_press,3,I've tested dozens of rugged smartwatches - this one's battery is on a different level,https://www.zdnet.com/article/suunto-core-2-review,388493da-928c-4c60-861a-9fbedec4c2e6,2026-08-19T16:01:00+00:00,2026-08-20T10:08:36.816812+00:00,"The Suunto Core 2 provides key outdoor metrics, storm alerts, and up to 15 months of battery life.",,,,,{}
9,rss,ZDNet,trade_press,3,"Pixel 11 XL Pro: Google's big flagship is more Pro than ever, but the camera is no big thing",https://www.zdnet.com/article/pixel-11-pro-xl-review,21223b02-da38-410e-8dcc-5d9d292df5d4,2026-08-19T16:00:46+00:00,2026-08-20T10:08:36.816821+00:00,"The Pixel 11 Pro XL has some gorgeous hardware and some neat AI tricks, but the cameras need good lighting to shine.",,,,,{}
10,rss,ZDNet,trade_press,3,I tried the Fairphone 6+ and - hoo boy! - this repairable phone could be the one,https://www.zdnet.com/article/repairable-phones-finally-hit-the-us-market,1b7c9b36-c565-46bc-88ce-3d065df8f750,2026-08-19T15:53:08+00:00,2026-08-20T10:08:36.855074+00:00,"Fairphone is finally selling its latest model in the US. The $649 handset has 12 swappable parts, and a replacement battery is only $40. This is truly the Goldilocks of Android phones.",,,,,{}
11,rss,ZDNet,trade_press,3,The best Android phones of 2026: Expert tested and reviewed,https://www.zdnet.com/article/best-android-phone,2e12223f-b3ee-43ba-a562-cdcd6fe3fa1d,2026-08-19T14:19:00+00:00,2026-08-20T10:08:36.855201+00:00,"We tested the latest Android phones on the market, from the Samsung Galaxy Z Fold 8 to the Google Pixel 11 series. Here's how they stack up.",,,,,{}
