source,feed_url,source_category,source_quality_default,independence_group,domain,active
ZDNet,https://www.zdnet.com/news/rss.xml,industry_media,3,cbs_interactive,enterprise_technology,true
The Register,https://www.theregister.com/headlines.atom,industry_media,3,the_register,enterprise_technology,true
Computerworld,https://www.computerworld.com/feed,industry_media,3,idg,enterprise_technology,true
InfoWorld,https://www.infoworld.com/feed,industry_media,3,idg,enterprise_technology,true
TechRepublic,https://www.techrepublic.com/rssfeeds/articles,industry_media,3,cbs_interactive,enterprise_technology,true
Krebs on Security,https://krebsonsecurity.com/feed,industry_media,4,krebsonsecurity,cybersecurity,true
Dark Reading,https://www.darkreading.com/rss.xml,industry_media,3,informa_tech,cybersecurity,true
The Hacker News,https://feeds.feedburner.com/TheHackersNews,industry_media,3,the_hacker_news,cybersecurity,true
Help Net Security,https://www.helpnetsecurity.com/feed,industry_media,3,help_net_security,cybersecurity,true
SecurityWeek,https://www.securityweek.com/feed,industry_media,3,securityweek,cybersecurity,true
Cybersecurity Dive,https://www.cybersecuritydive.com/feeds/news,industry_media,3,industry_dive,cybersecurity,true
Azure Blog,https://azure.microsoft.com/en-us/blog/feed/,vendor,3,microsoft,cloud_and_data_centers,true
AWS Blog,https://aws.amazon.com/blogs/aws/feed/,vendor,3,amazon,cloud_and_data_centers,true
Google Cloud Blog,https://cloudblog.withgoogle.com/rss,vendor,3,google,cloud_and_data_centers,true
RCR Wireless News,https://feeds.feedburner.com/rcrwireless/sLmV,industry_media,3,rcr_wireless,connectivity_and_telecom,true
Schneider Electric Blog - 5G and Infrastructure,https://blog.se.com/tag/5g/feed/,vendor,3,schneider_electric,connectivity_and_telecom,true
Manufacturing Dive,https://www.manufacturingdive.com/feeds/news,industry_media,3,industry_dive,smart_industries_and_iot,true
Finextra,https://www.finextra.com/rss/headlines.aspx,industry_media,3,finextra,finance_banking_and_insurance,true
Healthcare Dive,https://www.healthcaredive.com/feeds/news,industry_media,3,industry_dive,healthcare_and_life_sciences,true
Fierce Healthcare,https://www.fiercehealthcare.com/rss/xml,industry_media,3,fierce_markets,healthcare_and_life_sciences,true
BioPharma Dive,https://www.biopharmadive.com/feeds/news,industry_media,3,industry_dive,healthcare_and_life_sciences,true
PharmaVoice,https://www.pharmavoice.com/feeds/news,industry_media,3,pharmavoice,healthcare_and_life_sciences,true
Retail Dive,https://www.retaildive.com/feeds/news,industry_media,3,industry_dive,retail,true
Smart Cities Dive,https://www.smartcitiesdive.com/feeds/news,industry_media,3,industry_dive,public_sector_and_smart_cities,true
Construction Dive,https://www.constructiondive.com/feeds/news,industry_media,3,industry_dive,transportation_and_construction,true
Automotive World,https://www.automotiveworld.com/feed,industry_media,3,automotive_world,transportation_and_construction,true
Utility Dive,https://www.utilitydive.com/feeds/news,industry_media,3,industry_dive,energy_and_natural_resources,true
EIA Today in Energy,https://www.eia.gov/rss/todayinenergy.xml,government,5,us_energy_information_administration,energy_and_natural_resources,true
Business Insider,https://www.businessinsider.com/rss,industry_media,2,insider_inc,enterprise_technology_and_business,true
NPR Business,https://feeds.npr.org/1006/rss.xml,industry_media,3,npr,business_and_economic_context,true
EU-Startups,https://feeds.feedburner.com/eu-startups,industry_media,2,eu_startups,startups_and_innovation,true
